Section,Metric,ScenarioA_PureDigital,ScenarioB_Digital+Physical,ScenarioC_Scaled,Notes/Formula
INPUT,Monthly Visitors,100000,250000,400000,"你的真实月访客(先小预算测出来再填)"
INPUT,Conversion Rate CVR,0.02,0.03,0.035,"付费笔数/访客; 行业中位1.5%-2.7%, 优化后2%-4%"
INPUT,CPC (ad cost per click),0.5,0.35,0.3,"点击单价; 低CAC市场(LATAM/印度)更低"
INPUT,First Order Price USD,15,15,15,"首单锚定价(Deep报告)"
INPUT,First Order Margin,0.95,0.95,0.95,"数字产品毛利率"
INPUT,Payment Fee Rate,0.04,0.04,0.04,"支付渠道手续费"
INPUT,Physical Attach Rate,0,0.3,0.4,"数字买家60天内买实物的比例"
INPUT,Physical Price USD,35,35,35,"水晶手链锚定价"
INPUT,Physical Margin,0,0.3,0.68,"A无实物;B用Dropship~30%;C自建~68%"
INPUT,Member Conv Rate,0,0.1,0.12,"成为会员比例"
INPUT,Member Price USD,9,9,9,"会员月费"
INPUT,Member Margin,0.9,0.9,0.9,"会员毛利率"
INPUT,Member Avg Months,0,4,6,"会员平均在网月数"
CALC,Paid Orders /mo,2000,7500,14000,"=Visitors*CVR"
CALC,First Order Net Margin USD,13.65,13.65,13.65,"=Price*Margin - Price*PaymentFee"
CALC,CAC USD,25,11.67,8.57,"=CPC/CVR"
CALC,Physical LTV Contribution,0,7.35,18.5,"=AttachRate*Price*Margin"
CALC,Member LTV Contribution,0,3.24,5.83,"=MemberConv*MemberPrice*MemberMargin*Months"
CALC,LTV USD,13.65,24.24,38,"=FirstOrderNet + PhysicalContrib + MemberContrib"
CALC,LTV/CAC ratio,0.55,2.08,4.43,"=LTV/CAC; 需>=3才可规模化放大"
CALC,Net per Customer USD,-11.35,12.57,29.43,"=LTV - CAC"
OUTPUT,Monthly Ad Spend USD,50000,87525,120000,"=PaidOrders*CAC"
OUTPUT,Monthly Gross (LTV basis) USD,27300,181800,532000,"=PaidOrders*LTV"
OUTPUT,Monthly Net Profit USD,-22700,94275,411600,"=MonthlyGross - MonthlyAdSpend - fixed costs(暂忽略)"
OUTPUT,Monthly Net Profit RMB approx,-163000,677000,2960000,"=NetUSD*7.2(汇率示意)"
GUIDE,How to use,,,,"导入Google Sheets;把CALC/OUTPUT列改成右侧Notes里的公式;再用真实测试数据替换INPUT区"
GUIDE,Key rule,,,,"先小预算测得真实CVR与CAC;确认LTV/CAC>=3后再加预算放大"
